2010-01-01,
2010-01-02,
2010-01-03,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,
2010-01-12,187.0,CO
2010-01-13,113.39726962457338,CO
2010-01-14,
2010-01-15,157.5586821697698,CO
2010-01-16,225.5434782608696,CO
2010-01-17,134.04761904761904,CO
2010-01-18,223.39563987839654,CO
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,112.84037885345218,CO
2010-01-23,168.52777777777777,CO
2010-01-24,156.4577540969952,CO
2010-01-25,161.4311533133084,CO
2010-01-26,127.13367341884995,CO
2010-01-27,269.6887779780159,CO
2010-01-28,
2010-01-29,192.2458435785924,CO
2010-01-30,101.86721799500619,CO
2010-01-31,
2010-02-01,44.07569692896547,CO
2010-02-02,64.46750581689932,CO
2010-02-03,
2010-02-04,222.25500644877812,CO
2010-02-05,54.809595123486226,CO
2010-02-06,219.7091361093847,CO
2010-02-07,
2010-02-08,
2010-02-09,212.1753257177048,CO
2010-02-10,143.29823820669714,CO
2010-02-11,133.51569997972322,CO
2010-02-12,219.0973783229102,CO
2010-02-13,244.78233158206376,CO
2010-02-14,
2010-02-15,421.6838503953205,CO
2010-02-16,184.87599862127377,CO
2010-02-17,
2010-02-18,
2010-02-19,
2010-02-20,
2010-02-21,
2010-02-22,
2010-02-23,
2010-02-24,71.0,CO
2010-02-25,
2010-02-26,120.91923643930315,CO
2010-02-27,
2010-02-28,
2010-03-01,
2010-03-02,108.93512520368405,CO
2010-03-03,149.71630708087764,CO
2010-03-04,289.2760170191141,CO
2010-03-05,286.7539238531088,CO
2010-03-06,177.13904071089806,CO
2010-03-07,157.32563219091472,CO
2010-03-08,
2010-03-09,171.85231472960777,CO
2010-03-10,418.16612164813597,CO
2010-03-11,324.63661021416374,CO
2010-03-12,82.70134678023484,CO
2010-03-13,100.69570499548199,CO
2010-03-14,
2010-03-15,238.2667710339777,CO
2010-03-16,106.69236179414389,CO
2010-03-17,114.53075058156523,CO
2010-03-18,236.66645266131914,CO
2010-03-19,
2010-03-20,542.8639178260908,CO
2010-03-21,272.57043015155887,CO
2010-03-22,129.49426985543892,CO
2010-03-23,
2010-03-24,
2010-03-25,584.0,CO
2010-03-26,347.1363878155031,CO
2010-03-27,
2010-03-28,198.69105808851734,CO
2010-03-29,197.32332031021608,CO
2010-03-30,180.02860684154925,CO
2010-03-31,
2010-04-01,213.2256762711425,CO
2010-04-02,198.84288130285,CO
2010-04-03,143.59986971354033,CO
2010-04-04,114.67039704772242,CO
2010-04-05,168.2948129329652,CO
2010-04-06,302.9158367743502,CO
2010-04-07,355.4750660685099,CO
2010-04-08,54.19755242434614,CO
2010-04-09,74.55386171768713,CO
2010-04-10,194.2728184500596,CO
2010-04-11,164.73622249561305,CO
2010-04-12,
2010-04-13,210.30754658408154,CO
2010-04-14,
2010-04-15,237.6559649134183,CO
2010-04-16,532.2,CO
2010-04-17,
2010-04-18,233.53968404256392,CO
2010-04-19,177.09211309587278,CO
2010-04-20,459.91187217949147,CO
2010-04-21,442.9905956410938,CO
2010-04-22,249.6683512769452,CO
2010-04-23,
2010-04-24,368.82259999172777,CO
2010-04-25,261.37215067833216,CO
2010-04-26,380.0892985983337,CO
2010-04-27,152.36364178893032,CO
2010-04-28,137.9755743638911,CO
2010-04-29,
2010-04-30,
2010-05-01,238.5384681275479,CO
2010-05-02,290.4342961170189,CO
2010-05-03,112.65348648826983,CO
2010-05-04,87.56679301721006,CO
2010-05-05,144.74765485782603,CO
2010-05-06,244.4651022114774,CO
2010-05-07,
2010-05-08,213.4273321319291,CO
2010-05-09,219.46609229109563,CO
2010-05-10,284.1924087145362,CO
2010-05-11,
2010-05-12,
2010-05-13,454.39112116473416,CO
2010-05-14,
2010-05-15,473.86908635536264,CO
2010-05-16,272.0737438843533,CO
2010-05-17,153.28068034699078,CO
2010-05-18,
2010-05-19,351.80365766272297,CO
2010-05-20,238.16550270731287,CO
2010-05-21,265.6140795271991,CO
2010-05-22,70.24218925253193,CO
2010-05-23,103.90718397055466,CO
2010-05-24,123.99833757612294,CO
2010-05-25,146.8472388468246,CO
2010-05-26,288.03042244975535,CO
2010-05-27,
2010-05-28,146.80787944971303,CO
2010-05-29,140.89956769273707,CO
2010-05-30,168.33288204258855,CO
2010-05-31,
2010-06-01,315.7234005238153,CO
2010-06-02,325.88660024794996,CO
2010-06-03,
2010-06-04,394.8218905155195,CO
2010-06-05,192.2633327932703,CO
2010-06-06,77.85981447074002,CO
2010-06-07,299.91042418772565,CO
2010-06-08,223.13103457690718,CO
2010-06-09,345.94934896720974,CO
2010-06-10,312.1222029020775,CO
2010-06-11,374.45154084399996,CO
2010-06-12,
