Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2010,AQS,120570030,1,7.5,ug/m3 LC,31,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/2/2010,AQS,120570030,1,5.5,ug/m3 LC,23,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/3/2010,AQS,120570030,1,6.5,ug/m3 LC,27,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/4/2010,AQS,120570030,1,7.6,ug/m3 LC,32,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/5/2010,AQS,120570030,1,8.3,ug/m3 LC,35,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/6/2010,AQS,120570030,1,8.9,ug/m3 LC,37,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/7/2010,AQS,120570030,1,11.9,ug/m3 LC,50,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/8/2010,AQS,120570030,1,10.7,ug/m3 LC,45,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/9/2010,AQS,120570030,1,11.7,ug/m3 LC,49,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/10/2010,AQS,120570030,1,12.1,ug/m3 LC,51,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/11/2010,AQS,120570030,1,14,ug/m3 LC,55,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/12/2010,AQS,120570030,1,15.9,ug/m3 LC,59,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/13/2010,AQS,120570030,1,16.1,ug/m3 LC,59,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/14/2010,AQS,120570030,1,14.9,ug/m3 LC,57,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/15/2010,AQS,120570030,1,12.4,ug/m3 LC,52,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/16/2010,AQS,120570030,1,8.6,ug/m3 LC,36,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/17/2010,AQS,120570030,1,4.5,ug/m3 LC,19,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/18/2010,AQS,120570030,1,7.2,ug/m3 LC,30,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/19/2010,AQS,120570030,1,7.8,ug/m3 LC,33,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/2/2010,AQS,120570030,2,5.7,ug/m3 LC,24,Morrison Ave,1,100,88101,PM2.5 - Local Conditions,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/1/2010,AQS,120570030,3,7.5,ug/m3 LC,31,Morrison Ave,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
1/2/2010,AQS,120570030,3,5.1,ug/m3 LC,21,Morrison Ave,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,45300,"Tampa-St. Petersburg-Clearwater, FL",12,Florida,57,Hillsborough,27.93224364,-82.50953973
