STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100203,0.35,0.0,5.14,0.0,75.3,17.9,84.3,66.4,2.0
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100204,0.46,0.0,5.25,0.0,75.3,17.9,84.3,66.4,2.0
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100205,0.58,0.0,5.37,0.0,75.3,18.0,84.3,66.4,2.0
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100206,0.70,0.0,5.49,0.0,75.4,18.0,84.4,66.4,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100207,0.82,0.0,5.61,0.0,75.4,18.0,84.4,66.4,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100208,0.94,0.0,5.73,0.0,75.4,18.0,84.4,66.4,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100209,1.06,0.0,5.85,0.0,75.4,18.0,84.4,66.4,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100210,1.18,0.0,5.97,0.0,75.4,18.1,84.5,66.4,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100211,1.31,0.0,6.10,0.0,75.5,18.1,84.5,66.4,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100212,1.43,0.0,6.22,0.0,75.5,18.1,84.5,66.4,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100213,1.55,0.0,6.34,0.0,75.5,18.1,84.6,66.4,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100214,1.67,0.0,6.46,0.0,75.5,18.2,84.6,66.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100215,1.78,0.0,6.57,0.0,75.6,18.2,84.7,66.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100216,1.90,0.0,6.69,0.0,75.6,18.2,84.7,66.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100217,2.01,0.0,6.80,0.0,75.6,18.3,84.8,66.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100218,2.12,0.0,6.91,0.0,75.7,18.3,84.8,66.5,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100219,2.23,0.0,7.02,0.0,75.7,18.3,84.9,66.5,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100220,2.34,0.0,7.13,0.0,75.7,18.3,84.9,66.6,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100221,2.45,0.0,7.24,0.0,75.8,18.4,85.0,66.6,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100222,2.55,0.0,7.34,0.0,75.8,18.4,85.0,66.6,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100223,2.66,0.0,7.45,0.0,75.8,18.4,85.1,66.6,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100224,2.77,0.0,7.56,0.0,75.9,18.5,85.1,66.7,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100225,2.87,0.0,7.66,0.0,75.9,18.5,85.2,66.7,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100226,2.98,0.0,7.77,0.0,76.0,18.5,85.2,66.7,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100227,3.08,0.0,7.87,0.0,76.0,18.5,85.3,66.7,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100228,3.19,0.0,7.98,0.0,76.0,18.6,85.3,66.8,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100301,0.12,0.0,8.10,0.0,76.1,18.6,85.4,66.8,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100302,0.23,0.0,8.21,0.0,76.1,18.6,85.4,66.8,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100303,0.36,0.0,8.34,0.0,76.2,18.7,85.5,66.8,2.5
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100304,0.48,0.0,8.46,0.0,76.2,18.7,85.6,66.9,2.5
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100305,0.60,0.0,8.58,0.0,76.2,18.7,85.6,66.9,2.5
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100306,0.71,0.0,8.69,0.0,76.3,18.8,85.7,66.9,2.5
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100307,0.82,0.0,8.80,0.0,76.3,18.8,85.7,66.9,2.5
